Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
3.9,1.55982,0.112174,-0.200128,1.66188,-0.079788,0.320648,1.66326,0.27914,0.306364,1.64064,0.342155,0.0595876,1.44861,0.36354,-0.214243,
3.93,1.55985,0.112182,-0.200168,1.66186,-0.0797992,0.32068,1.66327,0.279125,0.306344,1.64075,0.342249,0.05971,1.44764,0.364499,-0.213688,
3.96,1.55997,0.112232,-0.200213,1.66187,-0.0798261,0.320717,1.66326,0.279074,0.306337,1.6408,0.342395,0.0598374,1.44746,0.365928,-0.213222,
3.99,1.55996,0.112236,-0.200225,1.66183,-0.0798331,0.320757,1.66324,0.27904,0.30635,1.64081,0.342428,0.0598682,1.44576,0.365586,-0.21295,
4.02,1.56001,0.112278,-0.200258,1.66181,-0.0798593,0.320771,1.66324,0.279027,0.30636,1.64091,0.342601,0.0602687,1.44701,0.366917,-0.210108,
4.05,1.56006,0.112282,-0.200363,1.66172,-0.0798886,0.320785,1.66306,0.279074,0.306315,1.64091,0.342834,0.0605829,1.44634,0.368664,-0.209716,
4.08,1.5601,0.112274,-0.200391,1.6617,-0.079926,0.320796,1.66298,0.279086,0.306299,1.64108,0.343005,0.060898,1.4457,0.369247,-0.209394,
4.11,1.5602,0.112233,-0.200457,1.66165,-0.0798715,0.32087,1.66297,0.279074,0.306288,1.6414,0.343302,0.0614051,1.44495,0.370541,-0.209375,
4.14,1.56028,0.112234,-0.200492,1.66164,-0.0799003,0.320896,1.66296,0.279051,0.306273,1.64153,0.343503,0.0617507,1.44419,0.370947,-0.209376,
4.17,1.56035,0.112241,-0.200533,1.66153,-0.0797549,0.320852,1.66287,0.279132,0.306229,1.64171,0.343636,0.0619417,1.44454,0.371333,-0.209477,
4.2,1.56039,0.112249,-0.200551,1.6615,-0.0797886,0.32087,1.66283,0.27931,0.306184,1.64183,0.343787,0.0621513,1.44516,0.369576,-0.209741,
4.23,1.56045,0.112281,-0.20058,1.66147,-0.0797926,0.320868,1.66278,0.279472,0.306167,1.64183,0.343839,0.0622284,1.44625,0.369627,-0.210033,
4.26,1.56051,0.11232,-0.200578,1.66148,-0.0798083,0.320869,1.6628,0.27962,0.306222,1.64192,0.343868,0.0622141,1.44631,0.369376,-0.211691,
4.29,1.56053,0.112326,-0.200586,1.66147,-0.0798085,0.320892,1.66282,0.279607,0.306231,1.64189,0.343878,0.0621975,1.44683,0.368446,-0.211404,
4.32,1.56066,0.112401,-0.200642,1.66143,-0.0796521,0.320863,1.66284,0.27976,0.306161,1.6421,0.343942,0.062133,1.44834,0.369204,-0.212434,
4.35,1.56067,0.112409,-0.200642,1.66143,-0.079664,0.320862,1.66287,0.279733,0.306172,1.64211,0.343955,0.0621182,1.44754,0.368623,-0.212357,
4.38,1.56076,0.112464,-0.200653,1.66152,-0.0794877,0.320909,1.6629,0.279737,0.306182,1.64264,0.344086,0.0620799,1.44873,0.368316,-0.212752,
4.41,1.56076,0.112473,-0.200655,1.6616,-0.0792767,0.320943,1.66291,0.279848,0.306102,1.64274,0.344072,0.0620632,1.44887,0.36837,-0.213311,
4.44,1.56077,0.112502,-0.200644,1.6616,-0.0792818,0.320945,1.66298,0.279802,0.306129,1.64276,0.344076,0.0620702,1.44892,0.367686,-0.213756,
4.47,1.56069,0.112577,-0.200665,1.66145,-0.0789941,0.320715,1.66309,0.279786,0.30609,1.64277,0.344046,0.061947,1.44923,0.366772,-0.213808,
4.5,1.56065,0.11269,-0.200568,1.66147,-0.0790798,0.320722,1.66317,0.280214,0.306038,1.6428,0.343987,0.0618444,1.45066,0.364959,-0.211513,
4.53,1.56064,0.112705,-0.200547,1.66149,-0.0791324,0.32072,1.66323,0.280152,0.306063,1.6428,0.343981,0.0618374,1.45122,0.365435,-0.211741,
4.56,1.56063,0.112736,-0.200522,1.6615,-0.0791793,0.320726,1.66322,0.280258,0.306019,1.64278,0.343971,0.0618386,1.4502,0.364359,-0.211905,
4.59,1.56059,0.112785,-0.200446,1.66151,-0.0792675,0.320692,1.66329,0.28025,0.3061,1.64251,0.343882,0.0616422,1.44927,0.364048,-0.21205,
4.62,1.56058,0.112816,-0.200428,1.66159,-0.0790958,0.320591,1.66327,0.280271,0.306064,1.64242,0.343801,0.0615653,1.44879,0.364171,-0.212761,
