Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
3.81,1.07101,-1.76116,-0.00768032,0.00293919,0.00683637,-0.00303202,1.23671,0.338916,0.00436195,-0.00736774,0,0,
3.84,1.07078,-1.76107,-0.00748135,0.00285093,0.00663213,-0.00294225,1.23684,0.338695,0.00424033,-0.00718688,0,0,
3.87,1.07056,-1.76099,-0.00728833,0.00276527,0.006434,-0.0028551,1.23697,0.338479,0.0041224,-0.00701138,0,0,
3.9,1.07034,-1.7609,-0.00710108,0.00268216,0.0062418,-0.00277052,1.23709,0.338269,0.00400803,-0.00684109,0,0,
3.93,1.07012,-1.76082,-0.00691942,0.0026015,0.00605535,-0.00268843,1.23721,0.338063,0.00389711,-0.00667584,0,0,
3.96,1.06992,-1.76074,-0.00674318,0.00252324,0.00587448,-0.00260875,1.23733,0.337863,0.00378955,-0.00651549,0,0,
3.99,1.06971,-1.76067,-0.00657221,0.0024473,0.00569901,-0.00253142,1.23744,0.337668,0.00368524,-0.0063599,0,0,
4.02,1.06952,-1.7606,-0.00640635,0.00237361,0.0055288,-0.00245636,1.23755,0.337477,0.00358408,-0.00620891,0,0,
4.05,1.06933,-1.76052,-0.00624544,0.0023021,0.00536367,-0.00238351,1.23766,0.337291,0.00348598,-0.00606241,0,0,
4.08,1.06914,-1.76045,-0.00608933,0.00223272,0.00520349,-0.00231281,1.23776,0.337109,0.00339083,-0.00592025,0,0,
4.11,1.06896,-1.76039,-0.00593789,0.00216539,0.00504809,-0.00224419,1.23786,0.336931,0.00329856,-0.00578231,0,0,
4.14,1.06878,-1.76032,-0.00579097,0.00210007,0.00489734,-0.0021776,1.23796,0.336758,0.00320907,-0.00564847,0,0,
4.17,1.0686,-1.76026,-0.00564844,0.00203668,0.00475109,-0.00211297,1.23806,0.336588,0.00312228,-0.00551859,0,0,
4.2,1.06843,-1.7602,-0.00551016,0.00197517,0.00460922,-0.00205024,1.23815,0.336423,0.0030381,-0.00539257,0,0,
4.23,1.06827,-1.76014,-0.00537601,0.00191549,0.00447158,-0.00198937,1.23824,0.336261,0.00295646,-0.00527029,0,0,
4.26,1.06811,-1.76008,-0.00524587,0.00185758,0.00433806,-0.00193029,1.23833,0.336103,0.00287728,-0.00515164,0,0,
4.29,1.06795,-1.76003,-0.00511962,0.00180139,0.00420854,-0.00187296,1.23842,0.335948,0.00280049,-0.00503652,0,0,
4.32,1.0678,-1.75997,-0.00499713,0.00174687,0.00408288,-0.00181733,1.2385,0.335797,0.00272601,-0.00492481,0,0,
4.35,1.06765,-1.75992,-0.0048783,0.00169397,0.00396098,-0.00176333,1.23859,0.335649,0.00265377,-0.00481642,0,0,
4.38,1.0675,-1.75987,-0.00476302,0.00164264,0.00384272,-0.00171094,1.23866,0.335505,0.0025837,-0.00471125,0,0,
4.41,1.06736,-1.75982,-0.00465118,0.00159284,0.00372799,-0.00166009,1.23874,0.335363,0.00251574,-0.0046092,0,0,
4.44,1.06722,-1.75977,-0.00454268,0.00154452,0.00361669,-0.00161074,1.23882,0.335225,0.00244983,-0.00451018,0,0,
4.47,1.06708,-1.75973,-0.00443742,0.00149763,0.00350872,-0.00156286,1.23889,0.33509,0.0023859,-0.00441411,0,0,
4.5,1.06695,-1.75968,-0.0043353,0.00145214,0.00340397,-0.00151639,1.23896,0.334957,0.00232389,-0.00432089,0,0,
4.53,1.06682,-1.75964,-0.00423623,0.001408,0.00330235,-0.0014713,1.23903,0.334828,0.00226375,-0.00423044,0,0,
4.56,1.06669,-1.7596,-0.00414011,0.00136518,0.00320377,-0.00142754,1.2391,0.334701,0.00220542,-0.00414268,0,0,
4.59,1.06657,-1.75955,-0.00404687,0.00132362,0.00310813,-0.00138508,1.23917,0.334577,0.00214883,-0.00405753,0,0,
4.62,1.06645,-1.75951,-0.00395641,0.00128331,0.00301535,-0.00134387,1.23923,0.334455,0.00209395,-0.00397491,0,0,
4.65,1.06633,-1.75948,-0.00386865,0.00124419,0.00292534,-0.00130389,1.23929,0.334336,0.00204072,-0.00389474,0,0,
4.68,1.06621,-1.75944,-0.00378351,0.00120624,0.00283802,-0.00126509,1.23936,0.334219,0.00198908,-0.00381696,0,0,
4.71,1.0661,-1.7594,-0.00370091,0.00116941,0.00275331,-0.00122744,1.23941,0.334104,0.001939,-0.00374149,0,0,
4.74,1.06599,-1.75937,-0.00362078,0.00113369,0.00267113,-0.0011909,1.23947,0.333992,0.00189042,-0.00366826,0,0,
4.77,1.06588,-1.75933,-0.00354303,0.00109902,0.0025914,-0.00115545,1.23953,0.333882,0.0018433,-0.00359721,0,0,
4.8,1.06577,-1.7593,-0.00346761,0.00106539,0.00251405,-0.00112105,1.23958,0.333774,0.00179759,-0.00352828,0,0,
4.83,1.06567,-1.75927,-0.00339444,0.00103276,0.00243901,-0.00108767,1.23964,0.333668,0.00175326,-0.00346139,0,0,
4.86,1.06557,-1.75924,-0.00332346,0.0010011,0.00236621,-0.00105529,1.23969,0.333564,0.00171025,-0.00339649,0,0,
4.89,1.06547,-1.75921,-0.00325459,0.000970387,0.00229559,-0.00102386,1.23974,0.333462,0.00166854,-0.00333353,0,0,
4.92,1.06537,-1.75918,-0.00318778,0.000940587,0.00222708,-0.000993362,1.23979,0.333362,0.00162807,-0.00327243,0,0,
4.95,1.06527,-1.75915,-0.00312296,0.000911673,0.00216061,-0.000963772,1.23984,0.333264,0.00158882,-0.00321316,0,0,
4.98,1.06518,-1.75912,-0.00306007,0.000883622,0.00209612,-0.000935059,1.23989,0.333168,0.00155075,-0.00315564,0,0,
5.01,1.06509,-1.7591,-0.00299907,0.000856406,0.00203357,-0.0009072,1.23994,0.333073,0.00151382,-0.00309984,0,0,
5.04,1.065,-1.75907,-0.00293988,0.000830001,0.00197288,-0.000880168,1.23998,0.33298,0.001478,-0.0030457,0,0,
5.07,1.06491,-1.75905,-0.00288246,0.000804382,0.001914,-0.000853938,1.24003,0.332889,0.00144324,-0.00299317,0,0,
5.1,1.06482,-1.75902,-0.00282675,0.000779528,0.00185688,-0.000828488,1.24007,0.332799,0.00140954,-0.0029422,0,0,
5.13,1.06474,-1.759,-0.00277271,0.000755414,0.00180146,-0.000803793,1.24011,0.332711,0.00137684,-0.00289275,0,0,
5.16,1.06465,-1.75898,-0.00272028,0.000732019,0.0017477,-0.000779833,1.24015,0.332624,0.00134512,-0.00284477,0,0,
5.19,1.06457,-1.75895,-0.00266941,0.000709321,0.00169555,-0.000756585,1.24019,0.332539,0.00131435,-0.00279821,0,0,
5.22,1.06449,-1.75893,-0.00262006,0.000687301,0.00164495,-0.000734027,1.24023,0.332455,0.0012845,-0.00275304,0,0,
5.25,1.06441,-1.75891,-0.00257219,0.000665936,0.00159586,-0.000712141,1.24027,0.332372,0.00125555,-0.00270922,0,0,
5.28,1.06434,-1.75889,-0.00252574,0.000645209,0.00154824,-0.000690905,1.24031,0.332291,0.00122746,-0.0026667,0,0,
5.31,1.06426,-1.75887,-0.00248068,0.0006251,0.00150204,-0.0006703,1.24035,0.332211,0.00120022,-0.00262545,0,0,
