Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
2.79,1.58808,0.0631208,-0.208677,1.66754,-0.113477,0.324397,1.69752,0.242039,0.304876,1.68796,0.313438,0.0657629,1.46998,0.403371,-0.211846,
2.82,1.58804,0.0631478,-0.208698,1.66761,-0.113405,0.324242,1.69753,0.24206,0.304792,1.68783,0.313449,0.0657243,1.46984,0.404361,-0.213017,
2.85,1.58797,0.0632062,-0.208781,1.66787,-0.113323,0.323927,1.69753,0.242087,0.304617,1.68778,0.31343,0.0657034,1.47093,0.405422,-0.212892,
2.88,1.58783,0.0632511,-0.208888,1.66794,-0.11343,0.323441,1.69747,0.242074,0.304361,1.68755,0.313428,0.0656668,1.47012,0.405075,-0.212962,
2.91,1.58762,0.0633393,-0.209013,1.66815,-0.113587,0.323248,1.69727,0.242017,0.303825,1.68716,0.313401,0.0654458,1.47131,0.404375,-0.214284,
2.94,1.58716,0.063523,-0.209332,1.66861,-0.113981,0.322522,1.69722,0.241846,0.303364,1.6863,0.313049,0.0655387,1.47284,0.400724,-0.213841,
2.97,1.58695,0.063633,-0.209413,1.66901,-0.114181,0.322206,1.69741,0.241789,0.303096,1.68593,0.312773,0.0655391,1.47212,0.39972,-0.214615,
3,1.58678,0.0636934,-0.209518,1.66917,-0.114534,0.321824,1.69735,0.241632,0.302842,1.68493,0.312247,0.0650404,1.47054,0.39594,-0.217971,
3.03,1.58662,0.0637652,-0.209585,1.66936,-0.114692,0.321593,1.69737,0.241541,0.302735,1.68416,0.31177,0.0645446,1.47177,0.394334,-0.216159,
3.06,1.58604,0.0638907,-0.209906,1.66951,-0.114736,0.32123,1.69711,0.24106,0.302218,1.68187,0.310579,0.0627477,1.47226,0.390284,-0.218061,
3.09,1.58589,0.0639049,-0.209913,1.66952,-0.114761,0.321205,1.69704,0.240974,0.302187,1.68125,0.310294,0.0625681,1.47157,0.391445,-0.217631,
3.12,1.58575,0.0639224,-0.209972,1.66961,-0.114963,0.321113,1.6969,0.240743,0.302095,1.68076,0.309909,0.0624819,1.47242,0.393897,-0.215496,
3.15,1.58544,0.0639751,-0.210012,1.66964,-0.115069,0.320975,1.69685,0.240701,0.302041,1.68052,0.30954,0.0628038,1.47099,0.395829,-0.215177,
3.18,1.58526,0.0640193,-0.210036,1.6697,-0.115243,0.320822,1.69671,0.240556,0.301961,1.68037,0.30938,0.0629969,1.47102,0.395982,-0.21564,
3.21,1.58496,0.0640646,-0.210059,1.66967,-0.115189,0.320727,1.69674,0.24058,0.301924,1.68026,0.309204,0.0631331,1.47104,0.395713,-0.215194,
3.24,1.58486,0.0640738,-0.210088,1.66965,-0.115183,0.320722,1.69664,0.240549,0.301897,1.68018,0.309142,0.0630711,1.47164,0.395258,-0.215883,
3.27,1.58458,0.0641175,-0.21005,1.66961,-0.115195,0.320692,1.69665,0.240549,0.301893,1.68009,0.309037,0.0630729,1.47191,0.395718,-0.215898,
3.3,1.58437,0.0641707,-0.210019,1.66961,-0.115203,0.32069,1.69656,0.24055,0.301847,1.67998,0.308974,0.0630426,1.47299,0.395916,-0.21534,
3.33,1.58384,0.0642854,-0.209943,1.66949,-0.11516,0.320723,1.69637,0.240621,0.301741,1.67979,0.309001,0.0629965,1.47307,0.397564,-0.216274,
3.36,1.58346,0.0644338,-0.209913,1.66945,-0.115105,0.320791,1.69585,0.240636,0.301737,1.67948,0.309174,0.0628161,1.47105,0.398263,-0.214364,
3.39,1.58263,0.0646975,-0.209813,1.66896,-0.114647,0.320932,1.69478,0.241036,0.301773,1.67807,0.309893,0.0624266,1.4681,0.397718,-0.21378,
3.42,1.5823,0.0648736,-0.209737,1.66857,-0.11436,0.321084,1.69453,0.241321,0.301887,1.67759,0.31012,0.0624369,1.4661,0.398734,-0.213756,
3.45,1.58217,0.0649831,-0.209706,1.66807,-0.11421,0.321318,1.69401,0.241709,0.302037,1.67729,0.310397,0.0624885,1.46554,0.401789,-0.214915,
3.48,1.58207,0.0650614,-0.209679,1.66776,-0.113979,0.321501,1.69359,0.241943,0.302143,1.67723,0.310803,0.0625079,1.46553,0.402287,-0.213777,
3.51,1.58178,0.0652446,-0.209637,1.66702,-0.113832,0.321448,1.6929,0.242095,0.302292,1.67686,0.311078,0.0628117,1.46287,0.403168,-0.212351,
3.54,1.58169,0.0653707,-0.209596,1.66676,-0.113684,0.321536,1.69265,0.242271,0.302376,1.67684,0.311473,0.0630755,1.46415,0.404623,-0.211845,
3.57,1.58146,0.0656449,-0.209481,1.66607,-0.113558,0.321844,1.69216,0.242532,0.302942,1.67689,0.312015,0.0635786,1.46344,0.406861,-0.21056,
3.6,1.58135,0.0658166,-0.209415,1.66583,-0.113498,0.321915,1.69187,0.242601,0.303176,1.67686,0.312498,0.0640676,1.46538,0.408107,-0.21098,
3.63,1.58116,0.0659513,-0.209395,1.66547,-0.113378,0.322019,1.69152,0.242643,0.303302,1.67683,0.312839,0.0645488,1.46483,0.407905,-0.210798,
3.66,1.58104,0.0660586,-0.209392,1.66503,-0.113376,0.322025,1.69105,0.242675,0.303488,1.67675,0.31297,0.064752,1.46551,0.408011,-0.211171,
3.69,1.58077,0.0662752,-0.209329,1.66434,-0.113308,0.322178,1.69051,0.242711,0.303631,1.67674,0.313075,0.0647833,1.46741,0.406914,-0.213066,
3.72,1.58058,0.0664127,-0.20926,1.66409,-0.113311,0.32219,1.69041,0.242738,0.303759,1.67674,0.313156,0.0648388,1.46695,0.406994,-0.214677,
3.75,1.58038,0.0665108,-0.20926,1.6637,-0.113281,0.322067,1.69,0.242736,0.303795,1.67669,0.313177,0.0649049,1.46662,0.405671,-0.214989,
3.78,1.58016,0.0665362,-0.209197,1.66351,-0.113244,0.32215,1.68989,0.242729,0.303849,1.67664,0.313249,0.0649799,1.46713,0.405606,-0.215151,
3.81,1.57987,0.0666467,-0.20912,1.66329,-0.113213,0.32225,1.68939,0.24261,0.303968,1.67653,0.31331,0.0650474,1.46841,0.406078,-0.215973,
3.84,1.57956,0.0667071,-0.20904,1.66304,-0.113273,0.322257,1.68914,0.242564,0.303981,1.67637,0.313318,0.0650618,1.46771,0.405714,-0.215314,
3.87,1.5794,0.0667523,-0.208985,1.66282,-0.113303,0.322296,1.68877,0.242588,0.303975,1.67621,0.31334,0.0651264,1.46812,0.405316,-0.214963,
3.9,1.57919,0.0668099,-0.208926,1.66273,-0.113269,0.322347,1.68847,0.242608,0.304029,1.67596,0.313348,0.0651931,1.46686,0.404497,-0.214833,
3.93,1.57887,0.0668429,-0.208769,1.66239,-0.113099,0.322414,1.68838,0.242688,0.304117,1.67568,0.313335,0.065461,1.46613,0.404918,-0.214915,
3.96,1.57866,0.0668194,-0.208686,1.6622,-0.112987,0.322552,1.68824,0.242734,0.304192,1.67537,0.313344,0.0654387,1.46626,0.403699,-0.214654,
3.99,1.57834,0.0667654,-0.208644,1.66195,-0.112883,0.322613,1.688,0.242643,0.30419,1.67494,0.313354,0.0655195,1.46572,0.40294,-0.216116,
4.02,1.57809,0.0668785,-0.20865,1.6616,-0.112772,0.322613,1.68766,0.242639,0.30423,1.67439,0.313339,0.0656626,1.46511,0.40377,-0.217197,
4.05,1.57781,0.0669112,-0.208615,1.66115,-0.112828,0.322638,1.68749,0.242698,0.304287,1.67413,0.31333,0.0656683,1.46561,0.403602,-0.21705,
4.08,1.57676,0.0668877,-0.208168,1.66054,-0.112639,0.322889,1.68715,0.24282,0.304574,1.67357,0.313302,0.065639,1.46595,0.402951,-0.218251,
4.11,1.57634,0.0668731,-0.208022,1.66005,-0.11241,0.32302,1.68679,0.242779,0.304671,1.67311,0.313246,0.065685,1.46678,0.402337,-0.216331,
4.14,1.57599,0.0668586,-0.207938,1.65966,-0.112363,0.323219,1.68607,0.242589,0.304828,1.67253,0.313132,0.0655324,1.46548,0.401368,-0.216382,
4.17,1.57552,0.0666543,-0.207858,1.65921,-0.112338,0.323163,1.68555,0.242591,0.304918,1.67206,0.313015,0.0653768,1.46559,0.400538,-0.216398,
4.2,1.57531,0.0666577,-0.207799,1.65896,-0.112214,0.323237,1.68521,0.242414,0.305158,1.67183,0.312942,0.0654375,1.4664,0.399671,-0.216251,
4.23,1.57476,0.0664343,-0.207625,1.65341,-0.1156,0.324598,1.68466,0.242449,0.30527,1.67149,0.312839,0.065495,1.46425,0.399609,-0.216956,
4.26,1.57441,0.0662843,-0.207532,1.65345,-0.115348,0.324549,1.68433,0.242385,0.305486,1.6712,0.312749,0.0653893,1.46514,0.399688,-0.216653,
4.29,1.57386,0.0663171,-0.20739,1.65167,-0.115918,0.325127,1.68385,0.242489,0.305731,1.67018,0.312673,0.065319,1.4649,0.40049,-0.216342,
4.32,1.57345,0.0663463,-0.207306,1.64979,-0.117022,0.325467,1.68351,0.242614,0.30591,1.6698,0.312634,0.0652692,1.46446,0.400126,-0.215165,
4.35,1.5731,0.0664681,-0.207286,1.65021,-0.116496,0.324859,1.68341,0.242668,0.306066,1.66949,0.312681,0.0652921,1.46428,0.400365,-0.21525,
4.38,1.57285,0.0664497,-0.207178,1.64901,-0.11727,0.325203,1.68324,0.242759,0.306215,1.66923,0.312666,0.0653534,1.46448,0.401201,-0.215175,
4.41,1.57243,0.0663938,-0.207106,1.64945,-0.116253,0.324975,1.68299,0.242845,0.306349,1.66885,0.31265,0.0653225,1.46335,0.401278,-0.214357,
4.44,1.57212,0.0663551,-0.207028,1.64981,-0.115834,0.32497,1.68276,0.242933,0.306511,1.66837,0.312634,0.065352,1.4628,0.400636,-0.214397,
4.47,1.57182,0.0664071,-0.206947,1.64836,-0.116878,0.325382,1.68229,0.243003,0.306658,1.66778,0.312673,0.0653882,1.46276,0.400847,-0.21426,
4.5,1.57121,0.0664529,-0.20681,1.6477,-0.117119,0.325439,1.6818,0.243235,0.306923,1.66722,0.312609,0.0655057,1.46095,0.402015,-0.217255,
4.53,1.57089,0.0664716,-0.206751,1.64809,-0.116566,0.325263,1.68162,0.243277,0.307024,1.66684,0.312576,0.0656161,1.46121,0.402116,-0.215818,
4.56,1.57048,0.0665641,-0.206718,1.6484,-0.116104,0.325036,1.68119,0.243252,0.307139,1.66667,0.3126,0.0656054,1.46059,0.401936,-0.21555,
4.59,1.57011,0.0666358,-0.206734,1.64847,-0.11567,0.324716,1.68082,0.243321,0.307284,1.66639,0.312592,0.0656021,1.4589,0.402487,-0.215376,
4.62,1.56981,0.0666607,-0.206657,1.64729,-0.116545,0.325183,1.68065,0.243354,0.307341,1.66625,0.312645,0.0656886,1.45933,0.402996,-0.215577,
4.65,1.56959,0.066714,-0.2067,1.64757,-0.116115,0.325002,1.6805,0.243384,0.307376,1.66613,0.312687,0.0657134,1.46019,0.40359,-0.215007,
4.68,1.56927,0.0667743,-0.206575,1.64658,-0.117081,0.325359,1.68024,0.243394,0.3075,1.66592,0.312723,0.0657482,1.45973,0.403454,-0.214949,
4.71,1.56909,0.0668037,-0.206517,1.64594,-0.11756,0.32569,1.68013,0.243399,0.307548,1.66584,0.312756,0.0657616,1.45953,0.404087,-0.21531,
4.74,1.5689,0.0668284,-0.206521,1.64659,-0.116413,0.325611,1.67994,0.243383,0.307545,1.66567,0.312755,0.0657644,1.45939,0.403653,-0.214851,
